hour,day,month,weekday,is_holiday,temp,price_uzs,demand_kwh,prev_demand_kwh,produce
19,3,1,1,0,-2.7,900,185.9,197.6,0
20,3,1,1,0,-2.7,900,177.4,173.3,0
21,3,1,1,0,-1.7,900,181.5,171.5,0
22,3,1,1,0,-1.5,900,181.1,182.6,0
23,3,1,1,0,0.9,554.1,134.7,175.3,0
0,4,1,2,0,2.8,422.2,113.0,127.9,0
1,4,1,2,0,4.2,400.7,105.9,109.2,0
2,4,1,2,0,3.3,414.5,100.5,100.5,0
3,4,1,2,0,0.5,403.3,103.8,105.3,1
4,4,1,2,0,1.6,408.6,99.2,103.2,1
5,4,1,2,0,1.3,435.9,101.9,107.0,1
6,4,1,2,0,-0.1,641.9,142.7,105.7,0
7,4,1,2,0,-0.6,653.4,149.3,138.6,0
8,4,1,2,0,-2.1,647.6,147.4,155.5,0
9,4,1,2,0,-5.4,831.3,176.0,149.0,0
10,4,1,2,0,-4.3,837.0,174.8,178.6,0
11,4,1,2,0,-4.4,868.5,178.5,178.8,0
12,4,1,2,0,-3.8,900,198.7,179.0,0
13,4,1,2,0,-5.5,900,197.1,197.7,0
14,4,1,2,0,-6.0,900,200,200,0
15,4,1,2,0,-5.9,900,200,195.1,0
16,4,1,2,0,-4.8,900,199.5,198.7,0
17,4,1,2,0,-5.2,900,200,192.5,0
18,4,1,2,0,-2.7,900,186.7,195.5,0
19,4,1,2,0,-1.4,900,173.1,200,0
20,4,1,2,0,-0.3,900,180.6,176.3,0
21,4,1,2,0,1.4,900,173.6,174.4,0
22,4,1,2,0,1.3,900,170.0,179.8,0
23,4,1,2,0,-0.9,552.7,123.4,180.1,0
0,5,1,3,0,0.1,397.3,102.9,130.1,0
1,5,1,3,0,4.2,441.6,111.1,106.4,0
2,5,1,3,0,1.8,426.6,104.7,102.8,1
3,5,1,3,0,3.9,407.8,108.5,104.2,0
4,5,1,3,0,3.1,397.6,107.3,103.4,1
5,5,1,3,0,-0.8,415.3,105.7,109.3,1
6,5,1,3,0,-1.2,643.0,143.6,105.0,0
7,5,1,3,0,-2.0,673.0,146.6,149.8,0
8,5,1,3,0,-4.0,667.8,148.5,149.4,0
9,5,1,3,0,-2.8,839.2,169.0,151.1,0
10,5,1,3,0,-3.9,836.5,174.5,175.7,0
11,5,1,3,0,-5.1,878.6,181.3,167.7,0
12,5,1,3,0,-6.7,900,200,181.3,0
13,5,1,3,0,-6.4,900,200,199.5,0
14,5,1,3,0,-6.9,900,200,200,0
15,5,1,3,0,-7.5,900,200,199.8,0
16,5,1,3,0,-4.4,900,198.4,194.5,0
17,5,1,3,0,-7.7,900,200,200,0
18,5,1,3,0,-2.7,900,196.1,194.6,0
19,5,1,3,0,-1.2,900,172.0,198.4,0
20,5,1,3,0,-3.5,900,173.3,180.9,0
21,5,1,3,0,-3.1,900,182.8,181.4,0
22,5,1,3,0,-0.1,900,178.2,172.6,0
23,5,1,3,0,0.3,550.2,129.0,173.5,0
0,6,1,4,0,4.0,434.6,109.6,131.0,1
1,6,1,4,0,0.4,424.7,103.9,101.9,1
2,6,1,4,0,2.7,401.2,102.7,100.2,1
3,6,1,4,0,1.9,437.7,101.0,104.8,1
4,6,1,4,0,0.8,434.6,113.4,97.6,1
5,6,1,4,0,1.1,420.5,108.0,91.6,1
6,6,1,4,0,-1.2,665.1,144.7,109.4,0
7,6,1,4,0,-2.6,682.8,149.4,150.9,0
8,6,1,4,0,0.3,658.2,151.4,143.5,0
9,6,1,4,0,-1.8,882.6,181.1,149.3,0
10,6,1,4,0,-3.3,837.2,168.9,167.7,0
11,6,1,4,0,-2.6,864.1,172.1,168.2,0
12,6,1,4,0,-3.7,900,192.1,176.5,0
13,6,1,4,0,-4.4,900,200.0,199.5,0
14,6,1,4,0,-6.7,900,200,197.6,0
15,6,1,4,0,-6.3,900,200,197.3,0
16,6,1,4,0,-5.4,900,198.9,194.6,0
17,6,1,4,0,-5.9,900,200,199.8,0
18,6,1,4,0,-6.0,900,196.7,195.7,0
19,6,1,4,0,-3.3,900,176.0,200,0
20,6,1,4,0,-3.0,900,185.7,176.6,0
21,6,1,4,0,-2.9,900,177.8,176.7,1
22,6,1,4,0,1.5,900,178.4,169.4,0
23,6,1,4,0,-0.5,520.3,123.3,172.1,0
0,7,1,5,0,3.5,347.1,93.6,117.9,1
1,7,1,5,0,3.0,341.4,92.2,100.5,1
2,7,1,5,0,2.2,365.5,100.3,95.0,1
3,7,1,5,0,2.8,321.1,94.4,89.4,1
4,7,1,5,0,0.6,342.3,95.9,88.3,1
5,7,1,5,0,3.1,359.1,88.1,94.5,1
6,7,1,5,0,1.0,566.3,126.6,90.3,0
7,7,1,5,0,0.6,539.8,126.7,121.5,0
8,7,1,5,0,-2.5,543.2,137.4,126.3,0
9,7,1,5,0,-4.3,675.9,153.2,133.7,0
10,7,1,5,0,-4.6,677.8,152.0,156.6,0
11,7,1,5,0,-5.3,691.1,155.8,160.9,0
12,7,1,5,0,-8.1,900,179.4,158.3,0
13,7,1,5,0,-7.1,900,179.5,190.7,0
14,7,1,5,0,-3.7,900,172.9,167.0,0
15,7,1,5,0,-6.3,900,178.6,173.6,0
16,7,1,5,0,-6.2,900,173.6,170.8,1
17,7,1,5,0,-4.3,900,179.2,177.1,0
18,7,1,5,0,-2.8,900,165.3,180.1,0
19,7,1,5,0,-0.8,763.8,154.3,171.1,0
20,7,1,5,0,-2.9,777.1,153.4,157.7,0
21,7,1,5,0,-1.7,781.9,161.2,151.9,1
22,7,1,5,0,-0.9,797.7,159.4,156.3,0
23,7,1,5,0,1.9,454.3,116.4,153.6,1
0,8,1,6,0,2.2,336.4,87.9,107.4,1
1,8,1,6,0,1.7,357.6,91.6,89.8,1
2,8,1,6,0,2.2,360.6,94.2,91.5,1
3,8,1,6,0,3.9,344.1,92.9,94.7,1
4,8,1,6,0,1.3,375.7,90.7,92.3,1
5,8,1,6,0,1.9,361.5,97.7,84.5,1
6,8,1,6,0,0.3,554.1,122.0,95.1,0
7,8,1,6,0,-1.1,535.5,131.6,119.7,1
8,8,1,6,0,-3.2,542.6,132.1,127.9,0
9,8,1,6,0,-3.3,692.3,151.6,133.6,0
10,8,1,6,0,-5.8,697.8,168.1,155.0,0
11,8,1,6,0,-5.2,686.7,159.1,153.2,0
12,8,1,6,0,-6.3,900,179.3,160.2,0
13,8,1,6,0,-5.6,900,175.4,186.3,0
14,8,1,6,0,-5.7,900,176.0,182.2,0
15,8,1,6,0,-7.3,900,176.6,183.9,0
16,8,1,6,0,-5.5,900,169.2,165.4,0
17,8,1,6,0,-5.5,900,178.6,178.4,0
18,8,1,6,0,-5.4,900,182.1,176.9,0
19,8,1,6,0,-5.7,755.1,159.1,187.4,0
20,8,1,6,0,-2.1,767.1,160.5,154.6,0
21,8,1,6,0,-0.9,755.1,152.5,162.0,1
22,8,1,6,0,-0.0,748.8,152.1,154.4,0
23,8,1,6,0,2.2,449.6,111.1,157.5,0
0,9,1,0,0,1.0,409.4,101.2,122.6,1
1,9,1,0,0,2.2,433.2,107.2,105.7,1
2,9,1,0,0,1.8,403.6,102.9,109.0,1
3,9,1,0,0,1.9,430.7,106.0,104.0,1
4,9,1,0,0,2.0,417.9,107.5,101.3,1
5,9,1,0,0,-1.1,418.8,106.4,115.1,0
6,9,1,0,0,-1.4,654.7,143.7,102.4,0
7,9,1,0,0,-0.8,642.4,147.0,145.7,0
8,9,1,0,0,-1.5,643.2,143.8,142.3,0
9,9,1,0,0,-2.4,850.8,170.4,145.5,0
10,9,1,0,0,-3.1,839.2,170.6,165.9,0
11,9,1,0,0,-5.6,872.3,178.2,173.9,0
12,9,1,0,0,-5.3,900,195.3,164.9,0
13,9,1,0,0,-5.0,900,195.8,197.9,0
14,9,1,0,0,-4.8,900,200,200,0
15,9,1,0,0,-5.4,900,198.8,199.3,0
16,9,1,0,0,-4.4,900,194.2,195.1,0
17,9,1,0,0,-5.5,900,193.3,196.8,0
18,9,1,0,0,-3.7,900,198.7,198.2,0
19,9,1,0,0,-1.5,900,179.7,191.1,0
20,9,1,0,0,-1.4,900,181.3,180.7,0
21,9,1,0,0,0.4,900,175.1,182.7,0
22,9,1,0,0,-0.3,900,170.7,170.6,0
23,9,1,0,0,2.2,573.4,121.8,172.8,0
0,10,1,1,0,2.4,400.6,102.7,134.2,0
1,10,1,1,0,0.2,397.4,103.6,97.8,1
2,10,1,1,0,1.3,427.0,106.9,108.7,1
3,10,1,1,0,1.4,425.8,105.0,104.2,1
4,10,1,1,0,2.7,428.6,96.9,105.0,1
5,10,1,1,0,0.2,447.5,108.0,101.4,1
6,10,1,1,0,-1.1,657.4,147.2,101.5,0
7,10,1,1,0,-0.6,660.8,140.2,145.6,0
8,10,1,1,0,-1.4,698.6,142.8,140.7,0
9,10,1,1,0,-2.8,825.2,161.9,147.8,0
10,10,1,1,0,-4.0,868.4,179.7,173.5,0
11,10,1,1,0,-3.4,869.3,171.6,176.2,0
12,10,1,1,0,-8.1,900,200,184.2,0
13,10,1,1,0,-5.6,900,197.5,199.9,1
14,10,1,1,0,-3.9,900,194.6,193.2,0
15,10,1,1,0,-5.1,900,198.9,196.3,1
16,10,1,1,0,-4.7,900,200,194.4,0
17,10,1,1,0,-6.3,900,200,200,0
18,10,1,1,0,-4.6,900,199.4,198.3,0
19,10,1,1,0,-2.9,900,183.0,193.1,0
20,10,1,1,0,-2.3,900,178.0,176.9,0
21,10,1,1,0,-1.2,900,174.0,172.7,0
22,10,1,1,0,-0.0,900,176.7,172.1,0
23,10,1,1,0,-0.9,534.7,129.0,182.9,0
0,11,1,2,0,2.4,402.4,110.2,126.9,1
1,11,1,2,0,0.2,404.6,104.7,104.3,1
2,11,1,2,0,4.7,377.3,106.4,101.3,1
3,11,1,2,0,1.6,434.6,105.4,101.6,1
4,11,1,2,0,2.3,441.4,106.7,101.4,0
5,11,1,2,0,0.1,417.5,99.3,107.2,0
6,11,1,2,0,-0.1,635.1,142.5,98.0,0
7,11,1,2,0,-1.3,648.2,144.1,141.3,0
8,11,1,2,0,-2.2,673.0,148.2,146.2,0
9,11,1,2,0,-3.0,845.7,174.0,144.6,0
10,11,1,2,0,-5.3,851.3,167.0,180.3,0
11,11,1,2,0,-5.1,836.5,176.3,173.5,0
12,11,1,2,0,-6.7,900,193.2,180.7,0
13,11,1,2,0,-6.5,900,200.0,200,0
14,11,1,2,0,-7.2,900,200,193.7,0
15,11,1,2,0,-4.5,900,200,200,0
16,11,1,2,0,-4.4,900,196.0,200,0
17,11,1,2,0,-5.7,900,200,197.5,0
18,11,1,2,0,-2.5,900,193.2,192.2,0
19,11,1,2,0,-2.5,900,180.0,191.5,0
20,11,1,2,0,-3.6,900,179.6,186.4,0
21,11,1,2,0,-1.0,900,178.4,189.5,0
22,11,1,2,0,-1.7,900,180.4,185.8,0
23,11,1,2,0,-0.9,548.8,133.5,178.1,0
0,12,1,3,0,1.9,411.5,106.0,130.9,0
1,12,1,3,0,4.2,412.3,105.7,98.8,1
2,12,1,3,0,1.5,414.7,108.7,105.1,1
3,12,1,3,0,1.6,399.7,103.0,104.6,0
4,12,1,3,0,1.8,408.2,104.2,97.9,1
5,12,1,3,0,-0.8,405.7,102.2,101.7,0
6,12,1,3,0,-2.2,658.3,148.1,104.8,0
7,12,1,3,0,-0.8,658.4,142.5,141.4,0
8,12,1,3,0,-2.2,661.9,139.4,145.2,0
9,12,1,3,0,-1.9,842.0,167.8,147.8,0
10,12,1,3,0,-5.2,855.0,179.5,184.8,0
11,12,1,3,0,-3.9,867.5,171.2,169.0,0
12,12,1,3,0,-5.6,900,200,176.2,0
13,12,1,3,0,-6.0,900,200,198.0,0
14,12,1,3,0,-8.3,900,200,199.5,0
15,12,1,3,0,-7.9,900,199.6,200,0
16,12,1,3,0,-7.5,900,200,199.6,0
17,12,1,3,0,-5.4,900,194.5,199.1,0
18,12,1,3,0,-3.5,900,200,198.4,0
19,12,1,3,0,-2.2,900,174.0,191.6,0
20,12,1,3,0,-0.1,900,186.6,170.9,0
21,12,1,3,0,1.0,900,175.1,175.7,0
22,12,1,3,0,1.6,900,175.3,169.6,0
23,12,1,3,0,0.6,547.9,134.8,174.3,0
0,13,1,4,0,0.8,405.2,102.8,124.6,1
1,13,1,4,0,1.3,434.5,113.5,104.8,1
2,13,1,4,0,3.1,402.2,109.0,111.3,1
3,13,1,4,0,0.7,425.0,106.0,106.6,1
4,13,1,4,0,0.4,435.4,103.4,110.8,1
5,13,1,4,0,1.8,398.6,103.0,99.5,1
6,13,1,4,0,0.0,670.7,149.1,114.1,0
7,13,1,4,0,-0.0,645.3,143.0,142.4,0
8,13,1,4,0,-2.1,657.9,149.2,147.3,0
9,13,1,4,0,-3.3,836.0,174.1,150.6,0
10,13,1,4,0,-4.9,840.7,176.4,171.2,0
11,13,1,4,0,-5.5,870.9,179.8,172.9,0
12,13,1,4,0,-7.1,900,200,179.8,0
13,13,1,4,0,-6.4,900,200,199.1,0
14,13,1,4,0,-5.0,900,196.3,198.8,0
15,13,1,4,0,-4.3,900,200,191.5,0
16,13,1,4,0,-4.8,900,197.9,200,0
17,13,1,4,0,-6.8,900,192.8,198.9,0
18,13,1,4,0,-2.4,900,195.9,198.7,0
19,13,1,4,0,0.5,900,166.6,192.9,0
20,13,1,4,0,-1.5,900,179.8,180.3,0
21,13,1,4,0,0.8,900,169.9,183.1,0
22,13,1,4,0,0.7,900,171.7,179.5,0
23,13,1,4,0,1.4,558.9,128.0,179.9,0
0,14,1,5,0,0.8,375.3,97.6,112.8,1
1,14,1,5,0,1.5,363.2,90.1,82.9,1
2,14,1,5,0,1.8,361.8,93.4,88.7,1
3,14,1,5,0,1.3,372.5,95.3,87.0,1
4,14,1,5,0,-0.0,344.9,92.4,89.2,1
5,14,1,5,0,2.8,360.1,95.3,90.3,1
6,14,1,5,0,1.4,526.7,128.6,92.3,0
7,14,1,5,0,-0.1,553.3,128.9,125.0,0
8,14,1,5,0,-1.5,526.4,124.9,130.7,0
9,14,1,5,0,-2.6,680.4,151.1,130.3,0
10,14,1,5,0,-2.9,741.8,153.2,157.9,0
11,14,1,5,0,-5.0,707.4,159.4,152.8,0
12,14,1,5,0,-6.2,900,174.9,160.0,0
13,14,1,5,0,-7.8,900,178.2,174.3,0
14,14,1,5,0,-5.4,900,181.5,175.9,1
15,14,1,5,0,-5.8,900,175.9,172.2,0
16,14,1,5,0,-5.4,900,180.7,186.2,0
17,14,1,5,0,-5.4,900,171.1,177.4,0
18,14,1,5,0,-3.7,900,175.1,174.0,0
19,14,1,5,0,-2.4,779.3,158.8,173.0,0
20,14,1,5,0,-2.5,775.8,165.8,152.7,0
21,14,1,5,0,-2.0,774.8,157.2,155.2,0
22,14,1,5,0,2.7,792.5,158.5,147.3,0
23,14,1,5,0,-0.1,454.5,122.2,148.6,1
0,15,1,6,0,0.9,332.6,92.7,113.5,1
1,15,1,6,0,2.3,322.4,89.6,94.6,0
2,15,1,6,0,1.4,349.8,90.8,91.5,1
3,15,1,6,0,-0.3,366.5,97.3,94.6,1
4,15,1,6,0,-0.5,356.9,87.4,98.1,1
5,15,1,6,0,-0.7,342.0,95.0,93.1,0
6,15,1,6,0,0.6,561.3,126.2,91.6,0
7,15,1,6,0,0.7,538.9,131.1,125.4,0
8,15,1,6,0,-2.6,532.7,133.0,134.8,0
9,15,1,6,0,-1.1,670.5,154.2,127.0,0
10,15,1,6,0,-3.9,698.1,155.9,161.2,0
11,15,1,6,0,-5.4,711.4,154.1,156.3,0
12,15,1,6,0,-5.8,900,174.8,145.7,0
13,15,1,6,0,-6.9,900,180.0,176.2,0
14,15,1,6,0,-7.7,900,179.0,183.7,0
15,15,1,6,0,-8.2,900,181.6,181.7,0
16,15,1,6,0,-4.0,900,175.2,177.5,0
17,15,1,6,0,-6.3,900,178.0,177.7,0
18,15,1,6,0,-4.5,900,186.6,174.8,0
19,15,1,6,0,-5.0,779.1,163.8,179.1,0
20,15,1,6,0,-1.6,752.0,154.4,157.5,0
21,15,1,6,0,-0.1,787.9,155.9,156.0,0
22,15,1,6,0,0.0,748.2,153.1,158.7,0
23,15,1,6,0,0.9,450.1,108.4,153.5,0
0,16,1,0,0,2.7,432.5,106.8,131.5,1
1,16,1,0,0,0.0,423.3,105.5,109.8,1
2,16,1,0,0,4.7,406.8,105.9,110.5,1
3,16,1,0,0,0.8,423.1,102.7,106.9,0
4,16,1,0,0,-0.5,412.6,110.2,114.4,0
5,16,1,0,0,3.6,412.5,93.2,108.7,1
6,16,1,0,0,-1.1,681.2,151.4,104.6,0
7,16,1,0,0,-1.3,665.1,150.6,143.8,0
8,16,1,0,0,-2.8,675.7,142.9,151.9,0
9,16,1,0,0,-4.8,873.3,178.8,144.4,0
10,16,1,0,0,-3.9,842.6,174.1,177.3,0
11,16,1,0,0,-4.2,847.8,169.5,173.8,0
12,16,1,0,0,-4.1,900,200,177.2,0
13,16,1,0,0,-4.7,900,200,199.6,0
14,16,1,0,0,-6.5,900,200,200,0
15,16,1,0,0,-5.4,900,198.5,200,0
16,16,1,0,0,-6.1,900,199.7,200,0
17,16,1,0,0,-5.2,900,200,199.3,0
18,16,1,0,0,-3.4,900,196.8,200,0
19,16,1,0,0,-2.0,900,182.3,191.2,0
20,16,1,0,0,-1.9,900,182.7,177.1,0
21,16,1,0,0,0.0,900,170.2,165.1,0
22,16,1,0,0,-0.3,900,172.3,183.9,0
23,16,1,0,0,-1.1,543.7,124.0,180.8,0
0,17,1,1,0,1.6,436.5,102.5,125.8,0
1,17,1,1,0,2.7,401.6,102.2,103.2,0
2,17,1,1,0,0.3,441.6,102.7,106.5,1
3,17,1,1,0,0.9,440.2,115.0,100.4,0
4,17,1,1,0,2.7,431.4,103.1,101.8,1
5,17,1,1,0,0.7,410.3,100.1,100.9,1
6,17,1,1,0,-1.1,667.6,145.6,101.5,0
7,17,1,1,0,0.6,658.1,146.1,144.3,0
8,17,1,1,0,-3.4,643.4,149.6,150.7,0
9,17,1,1,0,-2.1,870.8,177.0,141.2,0
10,17,1,1,0,-3.1,849.4,172.3,170.1,0
11,17,1,1,0,-5.9,853.9,174.7,172.5,1
12,17,1,1,0,-6.1,900,199.4,174.6,0
13,17,1,1,0,-6.6,900,200,200,0
14,17,1,1,0,-6.6,900,200,197.2,0
15,17,1,1,0,-6.2,900,197.2,200,0
16,17,1,1,0,-4.7,900,193.3,200,0
17,17,1,1,0,-4.5,900,197.9,194.9,0
18,17,1,1,0,-3.2,900,199.8,199.0,0
19,17,1,1,0,-4.7,900,178.7,200,0
20,17,1,1,0,-0.9,900,178.6,179.6,0
21,17,1,1,0,-3.8,900,175.6,177.0,0
22,17,1,1,0,0.3,900,176.5,172.3,0
23,17,1,1,0,2.3,548.0,121.6,174.0,0
0,18,1,2,0,3.0,430.1,108.5,124.9,1
1,18,1,2,0,1.5,399.1,92.4,112.3,1
2,18,1,2,0,0.6,417.8,118.6,106.1,0
3,18,1,2,0,0.7,410.0,104.5,103.5,1
4,18,1,2,0,1.0,420.7,98.5,106.3,1
5,18,1,2,0,1.6,428.9,102.1,100.2,1
6,18,1,2,0,-0.2,689.9,147.4,94.8,0
7,18,1,2,0,-1.4,630.5,148.1,153.9,0
8,18,1,2,0,-1.4,652.0,143.8,139.0,0
9,18,1,2,0,-4.8,840.0,172.4,148.5,0
10,18,1,2,0,-3.6,833.2,172.2,174.9,0
11,18,1,2,0,-5.3,850.9,175.8,173.7,0
12,18,1,2,0,-7.2,900,200,178.5,0
13,18,1,2,0,-6.0,900,200,198.4,0
14,18,1,2,0,-7.3,900,200,200,0
15,18,1,2,0,-5.7,900,198.6,198.3,1
16,18,1,2,0,-4.7,900,198.3,196.4,0
17,18,1,2,0,-5.4,900,199.2,200,0
18,18,1,2,0,-3.4,900,200,200,0
19,18,1,2,0,-1.3,900,182.5,197.0,0
20,18,1,2,0,-0.2,900,176.7,164.5,0
21,18,1,2,0,-0.7,900,172.2,180.8,0
22,18,1,2,0,1.3,900,181.2,175.0,0
23,18,1,2,0,0.8,553.6,133.8,171.2,0
0,19,1,3,0,2.2,411.4,107.4,121.5,1
1,19,1,3,0,2.1,410.2,100.7,107.0,1
2,19,1,3,0,1.9,402.5,105.7,99.5,1
3,19,1,3,0,0.6,405.0,107.4,104.8,1
4,19,1,3,0,1.5,448.3,100.7,109.1,1
5,19,1,3,0,0.4,416.6,98.6,92.1,0
6,19,1,3,0,0.6,670.5,143.1,98.0,0
7,19,1,3,0,0.4,658.7,150.6,145.6,0
8,19,1,3,0,-1.6,666.2,146.7,140.2,0
9,19,1,3,0,-4.1,841.3,173.7,144.2,0
10,19,1,3,0,-4.5,862.2,179.2,179.8,0
11,19,1,3,0,-5.1,834.1,178.7,182.6,0
12,19,1,3,0,-5.2,900,198.7,175.4,0
13,19,1,3,0,-5.4,900,199.8,200,0
14,19,1,3,0,-4.5,900,200,197.5,0
15,19,1,3,0,-6.6,900,200,197.8,1
16,19,1,3,0,-5.1,900,196.7,199.3,0
17,19,1,3,0,-5.1,900,196.6,195.4,0
18,19,1,3,0,-2.7,900,199.2,192.6,0
19,19,1,3,0,-3.1,900,180.8,195.8,0
20,19,1,3,0,-1.0,900,173.5,172.6,0
21,19,1,3,0,-0.5,900,176.2,181.1,0
22,19,1,3,0,0.6,900,174.5,166.1,0
23,19,1,3,0,0.7,574.1,126.4,175.8,1
0,20,1,4,0,1.9,417.0,108.9,130.7,1
1,20,1,4,0,2.2,411.0,104.4,107.5,1
2,20,1,4,0,3.2,422.1,104.2,109.9,0
3,20,1,4,0,-0.2,425.1,110.2,105.5,1
4,20,1,4,0,0.6,414.9,103.5,107.3,1
5,20,1,4,0,0.8,410.7,111.5,97.4,1
6,20,1,4,0,0.5,665.3,143.7,105.5,0
7,20,1,4,0,-1.4,666.5,136.6,148.0,0
8,20,1,4,0,-1.4,653.7,140.2,142.5,0
9,20,1,4,0,-2.6,826.6,172.9,150.2,0
10,20,1,4,0,-5.2,863.4,178.5,174.6,0
11,20,1,4,0,-3.9,870.8,177.2,174.0,0
12,20,1,4,0,-4.9,900,196.3,175.5,0
13,20,1,4,0,-4.7,900,198.3,200,0
14,20,1,4,0,-6.0,900,198.0,200,0
15,20,1,4,0,-5.7,900,200,198.3,0
16,20,1,4,0,-6.4,900,197.4,200,0
17,20,1,4,0,-4.8,900,197.2,197.9,0
18,20,1,4,0,-2.7,900,197.2,200,1
19,20,1,4,0,-4.1,900,181.1,200,0
20,20,1,4,0,-1.8,900,178.0,176.1,0
21,20,1,4,0,0.2,900,179.0,178.7,0
22,20,1,4,0,-1.7,900,177.6,175.3,0
23,20,1,4,0,0.7,538.5,123.6,178.8,0
0,21,1,5,0,1.9,357.9,94.7,121.1,0
1,21,1,5,0,1.5,341.0,84.8,102.3,1
2,21,1,5,0,1.5,361.7,88.9,89.7,1
3,21,1,5,0,3.2,330.2,95.6,89.8,0
4,21,1,5,0,2.2,360.7,96.3,86.1,1
5,21,1,5,0,0.7,346.5,96.4,88.6,0
6,21,1,5,0,1.0,535.5,123.6,97.0,0
7,21,1,5,0,-0.5,545.0,127.3,129.1,0
8,21,1,5,0,-2.6,547.6,121.8,130.3,0
9,21,1,5,0,-2.8,668.8,153.2,133.5,0
10,21,1,5,0,-2.9,705.1,150.8,155.0,0
11,21,1,5,0,-4.3,664.8,156.9,151.8,0
12,21,1,5,0,-6.4,900,169.9,153.6,0
13,21,1,5,0,-6.3,900,177.6,172.3,0
14,21,1,5,0,-9.0,900,190.6,178.6,0
15,21,1,5,0,-7.5,900,181.1,181.8,0
16,21,1,5,0,-5.2,900,188.1,186.7,0
17,21,1,5,0,-3.8,900,178.0,175.9,0
18,21,1,5,0,-4.0,900,176.9,174.4,0
19,21,1,5,0,-6.2,771.3,160.3,176.2,0
20,21,1,5,0,-0.9,757.1,151.9,157.5,0
21,21,1,5,0,0.1,792.8,150.8,157.6,0
22,21,1,5,0,-0.2,763.8,150.2,151.8,0
23,21,1,5,0,-0.1,467.6,122.2,162.9,1
